* Squall
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
63	2701	37	28	34	23	29	18
64	2738	38	28	34	23	29	18
65	2775	38	29	34	23	30	18
66	2812	39	29	35	24	30	18
67	2848	39	29	35	24	30	18
68	2885	39	29	35	24	30	18
69	2922	39	29	35	24	30	18
70	2958	40	30	36	24	31	18
71	2995	40	30	36	24	31	18
72	3031	40	30	36	25	31	19
73	3068	41	30	37	25	31	19
74	3104	41	30	37	25	31	19
75	3140	41	31	37	25	32	19
76	3176	42	31	37	25	32	19
77	3212	42	31	37	25	32	19
78	3248	42	31	38	25	32	19
79	3284	42	31	38	26	32	19
80	3320	43	32	38	26	32	19
81	3355	43	32	38	26	32	19
82	3391	43	32	39	26	32	19
83	3426	43	32	39	26	32	19
84	3462	44	32	39	26	32	19
85	3497	44	32	39	26	33	19
86	3532	44	32	40	26	33	19
87	3568	44	32	40	26	33	19
88	3603	45	32	40	26	33	20
89	3638	45	32	40	26	33	20
90	3673	45	33	40	26	34	20
91	3708	45	33	40	26	34	20
92	3743	45	33	41	26	34	20
93	3777	46	33	41	26	34	20
94	3812	46	33	41	26	34	20
95	3847	46	33	41	26	35	20
96	3881	46	33	41	27	35	20
97	3916	46	33	41	27	35	20
98	3950	46	33	41	27	35	20
99	3984	47	33	41	27	35	20
100	4018	47	33	42	27	35	20
----
* Irvine
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	213	1	1	1	0	19	13
2	254	2	2	2	1	19	13
3	295	3	2	3	1	19	13
4	336	4	3	4	2	20	13
5	377	4	4	4	3	20	13
6	417	5	4	5	3	20	13
7	458	6	5	6	4	20	13
8	498	6	5	7	5	21	14
9	538	7	6	7	5	21	14
10	579	8	6	8	6	21	14
11	619	8	7	8	6	21	14
12	659	9	8	9	7	22	14
13	699	10	8	10	7	22	14
14	739	10	8	10	8	22	14
15	779	11	9	11	8	22	14
16	818	11	10	12	9	23	15
17	858	12	10	12	9	23	15
18	898	13	11	13	10	23	15
19	937	13	11	14	10	23	15
20	977	14	12	14	11	23	15
21	1016	14	12	15	11	23	15
22	1056	15	12	15	12	23	15
23	1095	16	13	16	12	23	15
24	1134	16	13	17	13	24	15
25	1173	17	14	17	13	24	15
26	1212	17	14	18	14	24	15
27	1251	18	15	18	14	24	15
28	1290	19	15	19	14	25	15
29	1329	19	15	19	15	25	15
30	1367	20	16	20	15	25	15
31	1406	20	16	20	16	25	15
32	1444	21	17	21	16	26	16
33	1483	21	17	22	16	26	16
34	1521	22	17	22	17	26	16
35	1559	22	18	22	17	26	16
36	1598	23	18	23	18	27	16
37	1636	23	19	23	18	27	16
38	1674	24	19	24	18	27	16
39	1712	24	19	24	18	27	16
40	1750	25	20	25	19	27	17
41	1788	25	20	25	19	27	17
42	1825	26	21	26	20	27	17
43	1863	26	21	26	20	27	17
44	1901	27	21	27	20	28	17
45	1938	27	22	27	21	28	17
46	1976	28	22	28	21	28	17
47	2013	28	22	28	21	28	17
48	2050	29	23	29	22	29	17
49	2087	29	23	29	22	29	17
50	2124	30	23	30	22	29	17
51	2161	30	23	30	22	29	17
52	2198	30	24	30	23	30	17
53	2235	31	24	31	23	30	17
54	2272	31	24	31	23	30	17
55	2309	32	25	31	24	30	17
56	2346	32	25	32	24	31	18
57	2382	32	25	32	24	31	18
58	2419	33	25	32	24	31	18
59	2455	33	25	33	24	31	18
60	2491	34	26	33	25	31	18
61	2528	34	26	34	25	31	18
62	2564	34	26	34	25	31	18
63	2600	35	26	34	25	31	18
64	2636	35	27	35	26	32	19
65	2672	36	27	35	26	32	19
66	2708	36	27	35	26	32	19
67	2743	36	27	35	26	32	19
68	2779	37	28	36	26	33	19
69	2815	37	28	36	26	33	19
70	2850	37	28	36	27	33	19
71	2886	38	28	36	27	33	19
72	2921	38	28	37	27	34	19
73	2957	38	29	37	27	34	19
74	2992	39	29	37	27	34	19
75	3027	39	29	37	27	34	19
76	3062	39	29	38	27	35	19
77	3097	39	29	38	27	35	19
78	3132	40	29	38	27	35	19
79	3167	40	29	38	27	35	19
80	3202	40	30	39	28	35	20
81	3236	40	30	39	28	35	20
82	3271	41	30	39	28	35	20
83	3305	41	30	39	28	35	20
84	3340	41	30	40	28	36	20
85	3374	42	30	40	28	36	20
86	3408	42	30	40	28	36	20
87	3443	42	30	40	28	36	20
88	3477	42	30	40	28	37	21
89	3511	43	30	40	28	37	21
90	3545	43	31	41	28	37	21
91	3579	43	31	41	28	37	21
92	3613	43	31	41	28	38	21
93	3646	43	31	41	28	38	21
94	3680	44	31	41	28	38	21
95	3714	44	31	41	28	38	21
96	3747	44	31	41	28	39	21
97	3781	44	31	41	28	39	21
98	3814	44	31	41	28	39	21
99	3847	45	31	42	28	39	21
100	3880	45	31	42	28	39	21
----
* Quistis
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	216	1	1	1	2	19	14
2	257	2	2	2	3	19	14
3	298	3	2	3	3	19	14
4	339	4	3	4	4	19	14
5	380	4	3	4	5	20	14
6	420	5	4	5	5	20	14
7	461	6	4	6	6	20	15
8	501	7	5	6	6	20	15
9	541	7	6	7	7	20	15
10	582	8	6	8	8	21	15
11	622	9	7	8	8	21	15
12	662	10	7	9	9	21	15
13	702	10	8	9	9	21	15
14	742	11	8	10	10	21	15
15	782	12	9	11	10	22	15
16	821	12	9	11	11	22	15
17	861	13	10	12	11	22	15
18	901	14	10	13	12	22	15
19	940	14	10	13	12	22	15
20	980	15	11	14	13	22	15
21	1019	15	12	14	13	22	16
22	1059	16	12	15	14	22	16
23	1098	17	12	15	14	22	16
24	1137	17	13	16	15	22	16
25	1176	18	13	17	15	23	16
26	1215	19	14	17	16	23	16
27	1254	19	14	18	16	23	16
28	1293	20	15	18	17	23	16
29	1332	20	15	19	17	23	16
30	1370	21	16	20	18	24	16
31	1409	21	16	20	18	24	16
32	1447	22	17	21	18	24	16
33	1486	23	17	21	19	24	16
34	1524	23	17	22	19	24	16
35	1562	24	17	22	20	25	17
36	1601	24	18	23	20	25	17
37	1639	25	18	23	20	25	17
38	1677	25	19	23	21	25	17
39	1715	26	19	24	21	25	17
40	1753	26	20	25	22	25	17
41	1791	27	20	25	22	25	17
42	1828	27	20	25	22	25	17
43	1866	28	20	26	23	25	17
44	1904	28	21	26	23	25	17
45	1941	29	21	27	24	26	17
46	1979	29	21	27	24	26	17
47	2016	30	22	28	24	26	17
48	2053	31	22	28	25	26	17
49	2090	31	22	29	25	26	18
50	2127	31	23	29	26	27	18
51	2164	32	23	29	26	27	18
52	2201	32	23	30	26	27	18
53	2238	32	24	30	26	27	18
54	2275	33	24	31	27	27	18
55	2312	34	24	31	27	28	18
56	2349	34	24	31	27	28	18
57	2385	34	25	32	27	28	18
58	2422	35	25	32	28	28	18
59	2458	35	25	32	28	28	18
60	2494	36	26	33	29	28	18
61	2531	36	26	33	29	28	18
62	2567	36	26	34	29	28	18
63	2603	37	26	34	29	28	19
64	2639	37	26	34	29	28	19
65	2675	37	26	35	30	29	19
66	2711	38	27	35	30	29	19
67	2746	38	27	35	30	29	19
68	2782	39	27	35	30	29	19
69	2818	39	27	36	30	29	19
70	2853	39	28	36	31	30	19
71	2889	39	28	36	31	30	19
72	2924	40	28	37	31	30	19
73	2960	40	28	37	31	30	19
74	2995	40	28	37	31	30	19
75	3030	41	28	38	32	31	19
76	3065	41	28	38	32	31	19
77	3100	41	29	38	32	31	20
78	3135	42	29	38	32	31	20
79	3170	42	29	38	32	31	20
80	3205	42	29	39	33	31	20
81	3239	42	29	39	33	31	20
82	3274	42	29	39	33	31	20
83	3308	43	29	39	33	31	20
84	3343	43	29	40	33	31	20
85	3377	43	29	40	33	32	20
86	3411	44	29	40	33	32	20
87	3446	44	29	40	33	32	20
88	3480	44	30	40	33	32	20
89	3514	44	30	41	33	32	20
90	3548	45	30	41	34	33	20
91	3582	45	30	41	34	33	21
92	3616	45	30	41	34	33	21
93	3649	45	30	41	34	33	21
94	3683	45	30	41	34	33	21
95	3717	45	30	42	34	34	21
96	3750	46	30	42	34	34	21
97	3784	46	30	42	34	34	21
98	3817	46	30	42	34	34	21
99	3850	46	30	42	34	34	21
100	3883	46	30	42	34	34	21
----
* Rinoa
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	217	1	0	8	3	20	16
2	261	2	1	8	3	20	16
3	305	3	1	9	4	20	16
4	349	4	2	10	5	20	16
5	393	5	3	11	5	21	16
6	436	6	3	12	6	21	16
7	480	7	4	12	6	21	16
8	523	8	4	13	7	21	17
9	566	9	5	14	8	21	17
10	610	10	5	15	8	22	17
11	653	11	5	15	9	22	17
12	696	12	6	16	10	22	17
13	739	13	6	17	10	22	17
14	782	14	7	17	11	22	17
15	825	15	8	18	11	23	17
16	867	15	8	19	12	23	17
17	910	16	8	20	12	23	17
18	953	17	9	20	13	23	17
19	995	18	9	21	13	23	17
20	1038	19	10	22	14	24	17
21	1080	20	10	22	14	24	17
22	1123	20	10	23	15	24	17
23	1165	21	11	24	15	24	17
24	1207	22	11	24	16	24	18
25	1249	23	12	25	16	24	18
26	1291	24	12	26	17	24	18
27	1333	25	13	26	17	24	18
28	1375	25	13	27	18	24	18
29	1417	26	13	28	18	24	18
30	1458	27	14	29	19	25	18
31	1500	28	14	29	20	25	18
32	1541	29	15	30	20	25	18
33	1583	30	15	30	20	25	18
34	1624	30	15	31	21	25	18
35	1665	31	16	32	21	26	18
36	1707	32	16	32	22	26	18
37	1748	33	16	33	22	26	18
38	1789	33	17	33	23	26	18
39	1830	34	17	34	23	26	18
40	1871	35	18	35	24	27	19
41	1912	35	18	35	24	27	19
42	1952	36	18	36	24	27	19
43	1993	37	18	36	25	27	19
44	2034	38	19	37	25	27	19
45	2074	39	19	38	25	28	19
46	2115	39	20	38	26	28	19
47	2155	40	20	39	26	28	19
48	2195	41	20	39	27	28	19
49	2235	41	20	40	27	28	19
50	2275	42	21	41	28	28	19
51	2315	42	21	41	28	28	19
52	2355	43	21	41	28	28	19
53	2395	44	22	42	29	28	19
54	2435	45	22	42	29	28	19
55	2475	45	22	43	29	29	19
56	2515	46	23	44	30	29	20
57	2554	46	23	44	30	29	20
58	2594	47	23	45	30	29	20
59	2633	48	23	45	30	29	20
60	2672	48	24	46	31	30	20
61	2712	49	24	46	31	30	20
62	2751	49	24	47	32	30	20
63	2790	50	24	47	32	30	20
64	2829	51	25	48	32	30	20
65	2868	51	25	48	32	31	20
66	2907	52	25	49	33	31	20
67	2945	52	25	49	33	31	20
68	2984	53	26	50	33	31	20
69	3023	53	26	50	33	31	20
70	3061	54	26	51	34	32	20
71	3100	54	26	51	34	32	20
72	3138	55	26	51	34	32	21
73	3177	56	27	52	34	32	21
74	3215	56	27	52	35	32	21
75	3253	57	27	53	35	32	21
76	3291	57	27	53	35	32	21
77	3329	57	27	54	35	32	21
78	3367	58	28	54	35	32	21
79	3405	59	28	55	36	32	21
80	3443	59	28	55	36	33	21
81	3480	59	28	55	36	33	21
82	3518	60	28	56	36	33	21
83	3555	60	28	56	36	33	21
84	3593	61	29	57	37	33	21
85	3630	62	29	57	37	34	21
86	3667	62	29	58	37	34	21
87	3705	62	29	58	37	34	21
88	3742	63	29	58	37	34	22
89	3779	63	29	59	37	34	22
90	3816	64	30	59	38	35	22
91	3853	64	30	59	38	35	22
92	3890	64	30	60	38	35	22
93	3926	65	30	60	38	35	22
94	3963	65	30	60	38	35	22
95	4000	66	30	61	38	36	22
96	4036	66	30	61	38	36	22
97	4073	66	30	62	38	36	22
98	4109	67	30	62	38	36	22
99	4145	67	31	62	38	36	22
100	4181	67	31	63	39	36	22
----
* Selphie
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	211	1	1	5	2	15	18
2	250	2	1	6	3	15	18
3	289	2	2	6	3	15	18
4	328	3	2	7	4	16	18
5	367	4	3	8	5	16	18
6	405	5	4	8	5	16	19
7	444	5	4	9	6	16	19
8	482	6	5	10	7	17	19
9	520	7	5	10	7	17	19
10	559	7	6	11	8	17	19
11	597	8	6	11	8	17	19
12	635	9	7	12	9	18	19
13	673	9	7	13	9	18	19
14	711	10	7	13	10	18	19
15	749	11	8	14	10	18	19
16	786	11	9	14	11	19	19
17	824	12	9	15	12	19	19
18	862	13	9	16	12	19	20
19	899	13	10	16	13	19	20
20	937	14	10	17	13	20	20
21	974	14	11	17	14	20	20
22	1012	15	11	18	14	20	20
23	1049	16	12	18	15	20	20
24	1086	17	12	19	15	21	20
25	1123	17	13	20	16	21	20
26	1160	17	13	20	16	21	20
27	1197	18	13	20	17	21	20
28	1234	19	14	21	17	21	20
29	1271	19	14	21	18	21	20
30	1307	20	15	22	18	21	21
31	1344	20	15	23	19	21	21
32	1380	21	15	23	19	22	21
33	1417	22	16	24	20	22	21
34	1453	22	16	24	20	22	21
35	1489	23	16	25	20	22	21
36	1526	23	17	25	21	23	21
37	1562	24	17	26	22	23	21
38	1598	24	17	26	22	23	21
39	1634	25	18	27	22	23	21
40	1670	25	18	27	23	24	21
41	1706	25	18	28	23	24	21
42	1741	26	19	28	23	24	22
43	1777	27	19	29	24	24	22
44	1813	27	19	29	24	25	22
45	1848	28	20	30	25	25	22
46	1884	28	20	30	25	25	22
47	1919	28	20	30	25	25	22
48	1954	29	20	31	26	26	22
49	1989	30	21	31	26	26	22
50	2024	30	21	32	27	26	22
51	2059	30	21	32	27	26	22
52	2094	31	22	33	27	27	22
53	2129	31	22	33	28	27	22
54	2164	32	22	33	28	27	23
55	2199	32	23	34	28	27	23
56	2234	32	23	34	29	27	23
57	2268	33	23	35	29	27	23
58	2303	33	23	35	29	27	23
59	2337	34	23	35	30	27	23
60	2371	34	24	36	30	28	23
61	2406	34	24	36	30	28	23
62	2440	35	24	37	31	28	23
63	2474	35	24	37	31	28	23
64	2508	36	24	37	31	29	23
65	2542	36	25	38	32	29	23
66	2576	36	25	38	32	29	24
67	2609	37	25	39	32	29	24
68	2643	37	25	39	32	30	24
69	2677	37	25	39	33	30	24
70	2710	38	26	40	33	30	24
71	2744	38	26	40	33	30	24
72	2777	38	26	40	33	31	24
73	2811	39	26	41	34	31	24
74	2844	39	26	41	34	31	24
75	2877	39	26	42	34	31	24
76	2910	39	27	42	34	32	24
77	2943	40	27	42	35	32	24
78	2976	40	27	43	35	32	25
79	3009	40	27	43	35	32	25
80	3042	41	27	43	35	33	25
81	3074	41	27	44	35	33	25
82	3107	41	27	44	35	33	25
83	3139	41	27	44	36	33	25
84	3172	42	27	44	36	33	25
85	3204	42	28	45	36	33	25
86	3236	42	28	45	36	33	25
87	3269	42	28	45	36	33	25
88	3301	42	28	46	37	34	25
89	3333	43	28	46	37	34	25
90	3365	43	28	46	37	34	26
91	3397	43	28	46	37	34	26
92	3429	43	28	47	37	35	26
93	3460	44	28	47	37	35	26
94	3492	44	28	47	37	35	26
95	3524	44	28	48	37	35	26
96	3555	44	28	48	38	36	26
97	3587	44	28	48	38	36	26
98	3618	44	28	48	38	36	26
99	3649	45	28	48	38	36	26
100	3680	45	28	49	38	37	26
----
* Seifer
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	275	3	2	2	5	15	12
2	335	4	3	3	5	15	12
3	395	4	3	4	6	16	12
4	455	5	4	4	7	16	12
5	515	6	5	5	7	16	12
6	574	7	6	6	8	17	12
7	634	8	6	7	8	17	13
8	693	8	7	7	9	17	13
9	752	9	7	8	10	18	13
10	812	10	8	9	10	18	13
11	871	11	9	9	11	18	13
12	930	11	9	10	11	19	13
13	989	12	10	10	12	19	13
14	1048	13	10	11	12	19	13
15	1107	13	11	12	13	20	13
16	1165	14	12	12	14	20	13
17	1224	15	12	13	14	20	13
18	1283	15	13	13	15	21	13
19	1341	16	13	14	15	21	13
20	1400	17	14	15	16	21	13
21	1458	17	14	15	16	22	14
22	1517	18	15	16	17	22	14
23	1575	19	15	16	17	22	14
24	1633	19	16	17	18	23	14
25	1691	20	17	18	18	23	14
26	1749	21	17	18	19	23	14
27	1807	21	18	19	19	24	14
28	1865	22	18	19	20	24	14
29	1923	22	18	20	20	24	14
30	1980	23	19	21	20	24	14
31	2038	24	20	21	21	24	14
32	2095	24	20	21	21	24	14
33	2153	25	21	22	22	25	14
34	2210	25	21	22	22	25	14
35	2267	26	22	23	23	25	15
36	2325	26	22	23	23	26	15
37	2382	27	22	24	23	26	15
38	2439	27	23	24	24	26	15
39	2496	28	23	25	24	27	15
40	2553	29	24	26	25	27	15
41	2610	29	24	26	25	27	15
42	2666	30	25	26	25	28	15
43	2723	30	25	27	26	28	15
44	2780	31	25	27	26	28	15
45	2836	31	26	28	26	29	15
46	2893	32	26	28	27	29	15
47	2949	32	27	29	27	29	15
48	3005	32	27	29	28	30	15
49	3061	33	27	29	28	30	16
50	3117	34	28	30	28	30	16
51	3173	34	28	30	29	31	16
52	3229	34	29	31	29	31	16
53	3285	35	29	31	29	31	16
54	3341	35	29	32	30	32	16
55	3397	36	30	32	30	32	16
56	3453	36	30	32	30	32	16
57	3508	36	30	33	31	33	16
58	3564	37	31	33	31	33	16
59	3619	37	31	34	31	33	16
60	3674	38	32	34	32	33	16
61	3730	38	32	34	32	33	16
62	3785	38	32	35	32	33	16
63	3840	39	32	35	32	34	17
64	3895	39	33	35	33	34	17
65	3950	40	33	36	33	34	17
66	4005	40	33	36	33	35	17
67	4059	40	33	37	33	35	17
68	4114	40	34	37	34	35	17
69	4169	41	34	37	34	36	17
70	4223	41	34	38	34	36	17
71	4278	41	34	38	34	36	17
72	4332	42	35	38	35	37	17
73	4387	42	35	38	35	37	17
74	4441	42	35	39	35	37	17
75	4495	43	36	39	35	38	17
76	4549	43	36	39	35	38	17
77	4603	43	36	40	35	38	18
78	4657	43	36	40	36	39	18
79	4711	44	36	40	36	39	18
80	4765	44	37	41	36	39	18
81	4818	44	37	41	36	40	18
82	4872	44	37	41	36	40	18
83	4925	45	37	41	36	40	18
84	4979	45	37	41	37	41	18
85	5032	45	37	42	37	41	18
86	5085	45	38	42	37	41	18
87	5139	45	38	42	37	42	18
88	5192	46	38	42	37	42	18
89	5245	46	38	42	37	42	18
90	5298	46	38	43	37	42	18
91	5351	46	38	43	37	42	19
92	5404	46	39	43	38	42	19
93	5456	46	39	43	38	43	19
94	5509	47	39	43	38	43	19
95	5562	47	39	44	38	43	19
96	5614	47	39	44	38	44	19
97	5667	47	39	44	38	44	19
98	5719	47	39	44	38	44	19
99	5771	47	39	44	38	45	19
100	5823	48	39	45	38	45	19
----
* Edea
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	209	0	0	11	8	16	10
2	249	1	0	12	8	16	10
3	289	1	0	13	9	16	10
4	329	2	1	13	10	16	10
5	369	3	1	14	10	17	10
6	408	3	1	15	11	17	10
7	448	4	2	16	12	17	10
8	487	5	2	16	12	17	10
9	526	6	2	17	13	17	10
10	566	6	2	18	14	18	11
11	605	7	3	18	14	18	11
12	644	7	3	19	15	18	11
13	683	8	3	20	15	18	11
14	722	9	4	20	16	18	11
15	761	9	4	21	17	19	11
16	799	10	4	22	17	19	11
17	838	10	4	22	18	19	11
18	877	11	4	23	19	19	11
19	915	12	5	24	19	19	11
20	954	12	5	25	20	19	11
21	992	13	5	25	20	19	11
22	1031	13	6	26	21	19	11
23	1069	14	6	26	21	19	11
24	1107	14	6	27	22	19	11
25	1145	15	6	28	22	20	11
26	1183	15	6	28	23	20	11
27	1221	16	7	29	23	20	11
28	1259	17	7	29	24	20	11
29	1297	17	7	30	24	20	11
30	1334	18	7	31	25	21	12
31	1372	18	8	31	25	21	12
32	1409	19	8	31	26	21	12
33	1447	19	8	32	26	21	12
34	1484	20	8	32	27	21	12
35	1521	20	9	33	27	22	12
36	1559	21	9	34	28	22	12
37	1596	21	9	34	28	22	12
38	1633	22	9	35	29	22	12
39	1670	22	9	35	29	22	12
40	1707	23	10	36	30	22	12
41	1744	23	10	36	30	22	12
42	1780	24	10	37	30	22	12
43	1817	24	10	37	31	22	12
44	1854	24	11	38	31	22	12
45	1890	25	11	38	32	23	12
46	1927	25	11	39	32	23	12
47	1963	26	11	39	32	23	12
48	1999	26	11	39	33	23	12
49	2035	27	12	40	33	23	12
50	2071	27	12	41	34	24	13
51	2107	27	12	41	34	24	13
52	2143	28	12	41	34	24	13
53	2179	28	12	42	35	24	13
54	2215	29	13	42	35	24	13
55	2251	29	13	43	36	25	13
56	2287	29	13	43	36	25	13
57	2322	30	13	43	36	25	13
58	2358	30	13	44	36	25	13
59	2393	31	14	44	37	25	13
60	2428	31	14	45	37	25	13
61	2464	31	14	45	37	25	13
62	2499	32	14	45	38	25	13
63	2534	32	14	46	38	25	13
64	2569	32	15	46	38	25	13
65	2604	33	15	47	39	26	13
66	2639	33	15	47	39	26	13
67	2673	33	15	47	39	26	13
68	2708	33	15	47	39	26	13
69	2743	34	15	48	40	26	13
70	2777	34	16	48	40	27	14
71	2812	35	16	48	40	27	14
72	2846	35	16	49	40	27	14
73	2881	35	16	49	41	27	14
74	2915	35	16	49	41	27	14
75	2949	36	16	50	41	28	14
76	2983	36	16	50	41	28	14
77	3017	36	17	50	41	28	14
78	3051	36	17	50	42	28	14
79	3085	37	17	51	42	28	14
80	3119	37	17	51	42	28	14
81	3152	37	17	51	42	28	14
82	3186	37	17	51	42	28	14
83	3219	38	18	52	43	28	14
84	3253	38	18	52	43	28	14
85	3286	38	18	52	43	29	14
86	3319	38	18	52	43	29	14
87	3353	39	18	53	43	29	14
88	3386	39	18	53	44	29	14
89	3419	39	18	53	44	29	14
90	3452	39	18	54	44	30	15
91	3485	39	19	54	44	30	15
92	3518	40	19	54	44	30	15
93	3550	40	19	54	44	30	15
94	3583	40	19	54	44	30	15
95	3616	40	19	54	44	31	15
96	3648	40	19	54	45	31	15
97	3681	40	19	55	45	31	15
98	3713	41	20	55	45	31	15
99	3745	41	20	55	45	31	15
100	3777	41	20	55	45	31	15
----
* Laguna
LV	MHP	STR	VIT	MAG	SPR	SPD	LUCK
1	184	2	1	2	1	22	14
2	228	2	2	2	2	22	14
3	272	3	3	3	3	22	14
4	316	4	3	4	3	22	14
5	360	5	4	5	4	23	14
6	403	6	5	5	5	23	14
7	447	6	6	6	5	23	15
8	490	7	6	7	6	23	15
9	533	8	7	8	6	23	15
10	577	9	8	8	7	24	15
